Date,close,high,low,open,volume,ticker
2024-10-28,188.38999938964844,190.2100067138672,188.2100067138672,189.57000732421875,27930800,AMZN
2024-10-29,190.8300018310547,191.4600067138672,187.82000732421875,188.5800018310547,35690200,AMZN
2024-10-30,192.72999572753906,195.61000061035156,192.4199981689453,194.6999969482422,37707600,AMZN
2024-10-31,186.39999389648438,190.60000610351562,185.22999572753906,190.50999450683594,75146800,AMZN
2024-11-01,197.92999267578125,200.5,197.02000427246094,199.0,99687800,AMZN
2024-11-04,195.77999877929688,197.3300018310547,194.30999755859375,196.4499969482422,38492100,AMZN
2024-11-05,199.5,199.82000732421875,195.99000549316406,196.0399932861328,30564800,AMZN
2024-11-06,207.08999633789062,207.5500030517578,199.13999938964844,200.00999450683594,72292200,AMZN
2024-11-07,210.0500030517578,212.25,207.19000244140625,207.44000244140625,52878400,AMZN
2024-11-08,208.17999267578125,209.9600067138672,207.44000244140625,209.72000122070312,36075800,AMZN
2024-11-11,206.83999633789062,209.64999389648438,205.58999633789062,208.5,35456000,AMZN
2024-11-12,208.91000366210938,209.5399932861328,206.00999450683594,208.3699951171875,38942900,AMZN
2024-11-13,214.10000610351562,215.08999633789062,209.13999938964844,209.39999389648438,46212900,AMZN
2024-11-14,211.47999572753906,215.89999389648438,210.8800048828125,214.16000366210938,42620300,AMZN
2024-11-15,202.61000061035156,207.33999633789062,199.61000061035156,206.75999450683594,86591100,AMZN
2024-11-18,201.6999969482422,204.6699981689453,200.9499969482422,204.14999389648438,36512500,AMZN
2024-11-19,204.61000061035156,205.3000030517578,198.77999877929688,199.3300018310547,31197900,AMZN
2024-11-20,202.8800048828125,203.1300048828125,199.4499969482422,202.97999572753906,32769000,AMZN
2024-11-21,198.3800048828125,203.49000549316406,195.75,203.49000549316406,58800000,AMZN
2024-11-22,197.1199951171875,199.25999450683594,196.75,198.25,31530800,AMZN
2024-11-25,201.4499969482422,201.9499969482422,199.0,199.27999877929688,40685700,AMZN
2024-11-26,207.86000061035156,208.0,201.7899932861328,201.89999389648438,41673700,AMZN
2024-11-27,205.74000549316406,207.63999938964844,205.0500030517578,206.97999572753906,28061600,AMZN
2024-11-29,207.88999938964844,208.1999969482422,204.58999633789062,205.8300018310547,24892400,AMZN
2024-12-02,210.7100067138672,212.99000549316406,209.50999450683594,209.9600067138672,39523200,AMZN
2024-12-03,213.44000244140625,214.02000427246094,209.64999389648438,210.30999755859375,32214800,AMZN
2024-12-04,218.16000366210938,220.0,215.75,215.9600067138672,48745700,AMZN
2024-12-05,220.5500030517578,222.14999389648438,217.3000030517578,218.02999877929688,41140200,AMZN
2024-12-06,227.02999877929688,227.14999389648438,220.60000610351562,220.75,44178100,AMZN
2024-12-09,226.08999633789062,230.0800018310547,225.6699981689453,227.2100067138672,46819400,AMZN
2024-12-10,225.0399932861328,229.05999755859375,224.1999969482422,226.08999633789062,31199900,AMZN
2024-12-11,230.25999450683594,231.1999969482422,226.25999450683594,226.41000366210938,35385800,AMZN
2024-12-12,228.97000122070312,231.08999633789062,227.6300048828125,229.8300018310547,28204100,AMZN
2024-12-13,227.4600067138672,230.1999969482422,225.86000061035156,228.39999389648438,28768100,AMZN
2024-12-16,232.92999267578125,233.0,228.00999450683594,230.22999572753906,37552100,AMZN
2024-12-17,231.14999389648438,232.72999572753906,227.85000610351562,232.38999938964844,35948100,AMZN
2024-12-18,220.52000427246094,231.39999389648438,220.11000061035156,230.77000427246094,43281400,AMZN
2024-12-19,223.2899932861328,226.08999633789062,222.9199981689453,224.91000366210938,39918700,AMZN
2024-12-20,224.9199981689453,226.2100067138672,218.72999572753906,219.83999633789062,88279200,AMZN
2024-12-23,225.05999755859375,226.8800048828125,223.89999389648438,225.00999450683594,28070000,AMZN
2024-12-24,229.0500030517578,229.13999938964844,226.1300048828125,226.94000244140625,15007500,AMZN
2024-12-26,227.0500030517578,228.5,226.6699981689453,228.5,16146700,AMZN
2024-12-27,223.75,226.02999877929688,220.89999389648438,225.60000610351562,27367100,AMZN
2024-12-30,221.3000030517578,223.0,218.42999267578125,220.05999755859375,28321200,AMZN
2024-12-31,219.38999938964844,223.22999572753906,218.94000244140625,222.97000122070312,24819700,AMZN
2025-01-02,220.22000122070312,225.14999389648438,218.19000244140625,222.02999877929688,33956600,AMZN
2025-01-03,224.19000244140625,225.36000061035156,221.6199951171875,222.50999450683594,27515600,AMZN
2025-01-06,227.61000061035156,228.83999633789062,224.83999633789062,226.77999877929688,31849800,AMZN
2025-01-07,222.11000061035156,228.3800048828125,221.4600067138672,227.89999389648438,28084200,AMZN
2025-01-08,222.1300048828125,223.52000427246094,220.1999969482422,223.19000244140625,25033300,AMZN
2025-01-10,218.94000244140625,221.7100067138672,216.5,221.4600067138672,36811500,AMZN
2025-01-13,218.4600067138672,219.39999389648438,216.47000122070312,218.05999755859375,27262700,AMZN
2025-01-14,217.75999450683594,221.82000732421875,216.1999969482422,220.44000244140625,24711700,AMZN
2025-01-15,223.35000610351562,223.57000732421875,220.75,222.8300018310547,31291300,AMZN
2025-01-16,220.66000366210938,224.64999389648438,220.30999755859375,224.4199981689453,24757300,AMZN
2025-01-17,225.94000244140625,226.50999450683594,223.0800018310547,225.83999633789062,42370100,AMZN
2025-01-21,230.7100067138672,231.77999877929688,226.94000244140625,228.89999389648438,39951500,AMZN
2025-01-22,235.00999450683594,235.44000244140625,231.19000244140625,232.02000427246094,41448200,AMZN
2025-01-23,235.4199981689453,235.52000427246094,231.50999450683594,234.10000610351562,26404400,AMZN
2025-01-24,234.85000610351562,236.39999389648438,232.92999267578125,234.5,25890700,AMZN
2025-01-27,235.4199981689453,235.61000061035156,225.86000061035156,226.2100067138672,49428300,AMZN
2025-01-28,238.14999389648438,241.77000427246094,233.97999572753906,234.2899932861328,41587200,AMZN
2025-01-29,237.07000732421875,240.38999938964844,236.14999389648438,239.02000427246094,26091700,AMZN
2025-01-30,234.63999938964844,237.9499969482422,232.22000122070312,237.13999938964844,32020700,AMZN
2025-01-31,237.67999267578125,240.2899932861328,236.41000366210938,236.5,36162400,AMZN
2025-02-03,237.4199981689453,239.25,232.89999389648438,234.05999755859375,37285900,AMZN
2025-02-04,242.05999755859375,242.52000427246094,238.02999877929688,239.00999450683594,29713800,AMZN
2025-02-05,236.1699981689453,238.32000732421875,235.1999969482422,237.02000427246094,38727300,AMZN
2025-02-06,238.8300018310547,239.66000366210938,236.00999450683594,238.00999450683594,60897100,AMZN
2025-02-07,229.14999389648438,234.80999755859375,228.05999755859375,232.5,77539300,AMZN
2025-02-10,233.13999938964844,233.9199981689453,229.1999969482422,230.5500030517578,35419900,AMZN
2025-02-11,232.75999450683594,233.44000244140625,230.1300048828125,231.9199981689453,23713700,AMZN
2025-02-12,228.92999267578125,231.17999267578125,228.16000366210938,230.4600067138672,32285200,AMZN
2025-02-13,230.3699951171875,230.4199981689453,227.52000427246094,228.85000610351562,31346500,AMZN
2025-02-14,228.67999267578125,229.88999938964844,227.22999572753906,229.1999969482422,27031100,AMZN
2025-02-18,226.64999389648438,229.3000030517578,223.72000122070312,228.82000732421875,42975100,AMZN
2025-02-19,226.6300048828125,226.8300018310547,223.7100067138672,225.52000427246094,28566700,AMZN
2025-02-20,222.8800048828125,225.1300048828125,221.80999755859375,224.77999877929688,30001700,AMZN
2025-02-21,216.5800018310547,223.30999755859375,214.74000549316406,223.27999877929688,55323900,AMZN
2025-02-24,212.7100067138672,217.72000122070312,212.4199981689453,217.4499969482422,42387600,AMZN
2025-02-25,212.8000030517578,213.33999633789062,204.16000366210938,211.6300048828125,58958000,AMZN
2025-02-26,214.35000610351562,218.16000366210938,213.08999633789062,214.94000244140625,39120600,AMZN
2025-02-27,208.74000549316406,219.97000122070312,208.3699951171875,218.35000610351562,40548600,AMZN
